, 13.1.2025, 10:56
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 7.8125e+03	 2.2960e+02	 1.7350e+00	 3.3893e-02	 1.4724e-10	-3.1928e-09	 1.3567e-11	 7.6865e+07	 2.8933e+02	 2.5493e+02
 3.9062e+03	 2.2960e+02	 1.7434e+00	 2.8689e-02	 6.2315e-11	-1.6148e-09	 1.3633e-11	 1.8162e+08	 2.8932e+02	 2.5750e+02
 1.9531e+03	 2.2960e+02	 1.7544e+00	 2.9831e-02	 3.2398e-11	-8.1931e-10	 1.3719e-11	 3.4933e+08	 2.8932e+02	 2.5995e+02
 9.7656e+02	 2.2960e+02	 1.7689e+00	 3.1583e-02	 1.7150e-11	-4.1751e-10	 1.3832e-11	 6.5991e+08	 2.8930e+02	 2.6309e+02
 4.8828e+02	 2.2960e+02	 1.7807e+00	 3.2406e-02	 8.7988e-12	-2.1197e-10	 1.3924e-11	 1.2863e+09	 2.8929e+02	 2.6568e+02
 2.4414e+02	 2.2960e+02	 1.7926e+00	 3.5682e-02	 4.8441e-12	-1.0760e-10	 1.4017e-11	 2.3364e+09	 2.8928e+02	 2.6850e+02
 1.2207e+02	 2.2960e+02	 1.8095e+00	 4.1061e-02	 2.7872e-12	-5.4946e-11	 1.4149e-11	 4.0606e+09	 2.8927e+02	 2.7118e+02
 6.1035e+01	 2.2960e+02	 1.8223e+00	 4.6607e-02	 1.5818e-12	-2.7907e-11	 1.4249e-11	 7.1548e+09	 2.8925e+02	 2.7493e+02
 3.0518e+01	 2.2960e+02	 1.8479e+00	 6.3343e-02	 1.0749e-12	-1.4388e-11	 1.4450e-11	 1.0529e+10	 2.8924e+02	 2.7800e+02
 1.5259e+01	 2.2960e+02	 1.8803e+00	 7.0533e-02	 5.9846e-13	-7.4690e-12	 1.4703e-11	 1.8911e+10	 2.8923e+02	 2.8089e+02
 7.6294e+00	 2.2960e+02	 1.9051e+00	 1.0567e-01	 4.4829e-13	-3.8398e-12	 1.4897e-11	 2.5246e+10	 2.8922e+02	 2.8343e+02
 1.9073e+00	 2.2960e+02	 2.2659e+00	 4.2871e-03	 4.5470e-15	-1.3427e-12	 1.7719e-11	 2.4891e+12	 2.8920e+02	 2.8758e+02
 4.7684e-01	 2.2960e+02	 2.2914e+00	 4.8024e-01	 1.2734e-13	-3.4242e-13	 1.7918e-11	 8.8880e+10	 2.8916e+02	 2.9668e+02
 1.0000e-01	 2.2960e+02	 1.8341e+00	 1.4519e+00	 8.0737e-14	-4.6383e-14	 1.4342e-11	 1.4018e+11	 2.8889e+02	 3.4283e+02
 1.0000e+06	 3.4010e+02	 1.6265e+00	 2.1442e-01	 1.1923e-07	-3.4839e-07	 1.2719e-11	 9.4923e+04	 2.8887e+02	 3.4693e+02
 5.0000e+05	 3.4010e+02	 1.6585e+00	 1.3585e-01	 3.7771e-08	-1.8309e-07	 1.2969e-11	 2.9964e+05	 2.8885e+02	 3.4950e+02
