, 10.1.2025, 14:1
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 1.5259e+01	 2.1890e+02	 2.0507e+00	 2.9971e-01	 2.5430e-12	-8.9151e-12	 1.6036e-11	 4.4505e+09	 3.4315e+02	 2.6839e+02
 7.6294e+00	 2.1890e+02	 2.1843e+00	 4.3847e-01	 1.8602e-12	-5.0243e-12	 1.7080e-11	 6.0842e+09	 3.4315e+02	 2.7083e+02
 1.9073e+00	 2.1890e+02	 2.7574e+00	 7.7930e-01	 8.2653e-13	-1.8639e-12	 2.1562e-11	 1.3693e+10	 3.4315e+02	 2.7414e+02
 4.7684e-01	 2.1890e+02	 3.6537e+00	 7.3641e-01	 1.9526e-13	-7.0364e-13	 2.8571e-11	 5.7962e+10	 3.4315e+02	 2.8394e+02
 1.0000e-01	 2.1890e+02	 4.0867e+00	 4.2732e-01	 2.3762e-14	-1.7164e-13	 3.1957e-11	 4.7630e+11	 3.4315e+02	 3.2883e+02
 1.0000e+06	 3.2610e+02	 1.6834e+00	 1.6526e-02	 9.1894e-09	-3.8004e-07	 1.3164e-11	 1.2316e+06	 3.4316e+02	 3.3289e+02
 5.0000e+05	 3.2610e+02	 1.6912e+00	 2.0477e-02	 5.6931e-09	-1.9216e-07	 1.3224e-11	 1.9880e+06	 3.4315e+02	 3.3537e+02
 2.5000e+05	 3.2610e+02	 1.6966e+00	 2.5300e-02	 3.5171e-09	-9.6831e-08	 1.3266e-11	 3.2179e+06	 3.4315e+02	 3.3825e+02
 1.2500e+05	 3.2610e+02	 1.7093e+00	 2.9250e-02	 2.0331e-09	-4.9304e-08	 1.3366e-11	 5.5667e+06	 3.4315e+02	 3.4087e+02
 6.2500e+04	 3.2610e+02	 1.7241e+00	 3.1922e-02	 1.1094e-09	-2.5165e-08	 1.3482e-11	 1.0202e+07	 3.4316e+02	 3.4375e+02
