, 20.12.2024, 14:57
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 7.8125e+03	 3.7600e+02	 2.9916e+00	 4.4908e-01	 1.9509e-09	-8.6520e-09	 2.3393e-11	 5.8013e+06	 3.0314e+02	 4.0244e+02
 3.9062e+03	 3.7600e+02	 3.2112e+00	 5.2812e-01	 1.1471e-09	-4.8030e-09	 2.5111e-11	 9.8661e+06	 3.0314e+02	 4.0519e+02
 1.9531e+03	 3.7600e+02	 3.4679e+00	 6.0074e-01	 6.5244e-10	-2.6802e-09	 2.7117e-11	 1.7347e+07	 3.0314e+02	 4.0763e+02
 9.7656e+02	 3.7600e+02	 3.7572e+00	 6.6336e-01	 3.6022e-10	-1.4973e-09	 2.9380e-11	 3.1419e+07	 3.0314e+02	 4.1007e+02
 4.8828e+02	 3.7600e+02	 4.0725e+00	 7.1380e-01	 1.9381e-10	-8.3422e-10	 3.1845e-11	 5.8397e+07	 3.0315e+02	 4.1275e+02
 2.4414e+02	 3.7600e+02	 4.4214e+00	 7.5432e-01	 1.0240e-10	-4.6447e-10	 3.4573e-11	 1.1052e+08	 3.0314e+02	 4.1815e+02
 1.2207e+02	 3.7600e+02	 4.7621e+00	 7.8322e-01	 5.3164e-11	-2.5537e-10	 3.7238e-11	 2.1288e+08	 3.0314e+02	 4.2057e+02
 6.1035e+01	 3.7600e+02	 5.0994e+00	 8.2250e-01	 2.7915e-11	-1.3913e-10	 3.9875e-11	 4.0543e+08	 3.0314e+02	 4.2330e+02
 3.0518e+01	 3.7600e+02	 5.4427e+00	 9.0495e-01	 1.5357e-11	-7.5391e-11	 4.2560e-11	 7.3698e+08	 3.0314e+02	 4.2932e+02
 1.5259e+01	 3.7600e+02	 5.8117e+00	 1.0559e+00	 8.9595e-12	-4.0827e-11	 4.5446e-11	 1.2632e+09	 3.0315e+02	 4.3202e+02
 7.6294e+00	 3.7600e+02	 6.2393e+00	 1.3094e+00	 5.5549e-12	-2.2227e-11	 4.8789e-11	 2.0374e+09	 3.0314e+02	 4.3452e+02
 1.9073e+00	 3.7600e+02	 7.3808e+00	 2.3448e+00	 2.4869e-12	-6.7675e-12	 5.7715e-11	 4.5509e+09	 3.0315e+02	 4.3783e+02
 4.7684e-01	 3.7600e+02	 9.1678e+00	 5.3188e+00	 1.4103e-12	-2.1657e-12	 7.1689e-11	 8.0252e+09	 3.0314e+02	 4.4832e+02
 1.0000e-01	 3.7600e+02	 1.3408e+01	 1.7952e+01	 9.9826e-13	-6.8997e-13	 1.0485e-10	 1.1337e+10	 3.0316e+02	 4.9915e+02
 1.0000e+06	 4.9640e+02	 2.3601e+00	 8.9223e-02	 4.9614e-08	-7.5630e-07	 1.8455e-11	 2.2812e+05	 3.0316e+02	 5.0488e+02
 5.0000e+05	 4.9640e+02	 2.3982e+00	 1.1125e-01	 3.0930e-08	-3.8873e-07	 1.8753e-11	 3.6591e+05	 3.0316e+02	 5.0754e+02
 2.5000e+05	 4.9640e+02	 2.4442e+00	 1.4237e-01	 1.9792e-08	-2.0077e-07	 1.9113e-11	 5.7184e+05	 3.0316e+02	 5.1013e+02
 1.2500e+05	 4.9640e+02	 2.5066e+00	 1.8497e-01	 1.2857e-08	-1.0472e-07	 1.9601e-11	 8.8029e+05	 3.0316e+02	 5.1257e+02
 6.2500e+04	 4.9640e+02	 2.5911e+00	 2.4131e-01	 8.3864e-09	-5.5296e-08	 2.0261e-11	 1.3495e+06	 3.0316e+02	 5.1500e+02
 3.1250e+04	 4.9640e+02	 2.7049e+00	 3.1007e-01	 5.3881e-09	-2.9627e-08	 2.1152e-11	 2.1005e+06	 3.0316e+02	 5.1757e+02
 1.5625e+04	 4.9640e+02	 2.8549e+00	 3.8766e-01	 3.3682e-09	-1.6117e-08	 2.2324e-11	 3.3602e+06	 3.0316e+02	 5.2002e+02
 7.8125e+03	 4.9640e+02	 3.0444e+00	 4.6832e-01	 2.0345e-09	-8.8812e-09	 2.3806e-11	 5.5630e+06	 3.0316e+02	 5.2263e+02
 3.9062e+03	 4.9640e+02	 3.2729e+00	 5.4663e-01	 1.1873e-09	-4.9369e-09	 2.5593e-11	 9.5319e+06	 3.0315e+02	 5.2519e+02
 1.9531e+03	 4.9640e+02	 3.5375e+00	 6.1810e-01	 6.7129e-10	-2.7558e-09	 2.7662e-11	 1.6860e+07	 3.0316e+02	 5.2775e+02
 9.7656e+02	 4.9640e+02	 3.8332e+00	 6.7992e-01	 3.6922e-10	-1.5385e-09	 2.9974e-11	 3.0653e+07	 3.0316e+02	 5.3025e+02
 4.8828e+02	 4.9640e+02	 4.1544e+00	 7.3081e-01	 1.9843e-10	-8.5647e-10	 3.2486e-11	 5.7037e+07	 3.0315e+02	 5.3307e+02
 2.4414e+02	 4.9640e+02	 4.5091e+00	 7.7439e-01	 1.0513e-10	-4.7638e-10	 3.5259e-11	 1.0765e+08	 3.0316e+02	 5.3852e+02
 1.2207e+02	 4.9640e+02	 4.8552e+00	 8.1159e-01	 5.5089e-11	-2.6169e-10	 3.7966e-11	 2.0544e+08	 3.0315e+02	 5.4100e+02
 6.1035e+01	 4.9640e+02	 5.2016e+00	 8.6702e-01	 2.9426e-11	-1.4260e-10	 4.0675e-11	 3.8461e+08	 3.0315e+02	 5.4357e+02
 3.0518e+01	 4.9640e+02	 5.5616e+00	 9.7637e-01	 1.6569e-11	-7.7408e-11	 4.3489e-11	 6.8308e+08	 3.0315e+02	 5.4972e+02
 1.5259e+01	 4.9640e+02	 5.9578e+00	 1.1668e+00	 9.8999e-12	-4.2066e-11	 4.6587e-11	 1.1432e+09	 3.0315e+02	 5.5247e+02
 7.6294e+00	 4.9640e+02	 6.4247e+00	 1.4803e+00	 6.2800e-12	-2.3014e-11	 5.0239e-11	 1.8022e+09	 3.0315e+02	 5.5521e+02
 1.9073e+00	 4.9640e+02	 7.7044e+00	 2.7832e+00	 2.9519e-12	-7.1108e-12	 6.0246e-11	 3.8340e+09	 3.0315e+02	 5.5858e+02
 4.7684e-01	 4.9640e+02	 9.7693e+00	 6.5391e+00	 1.7339e-12	-2.3252e-12	 7.6392e-11	 6.5275e+09	 3.0314e+02	 5.6838e+02
 1.0000e-01	 4.9640e+02	 1.5048e+01	 2.3058e+01	 1.2822e-12	-7.8117e-13	 1.1767e-10	 8.8270e+09	 3.0315e+02	 6.1915e+02
 1.0000e+06	 6.1640e+02	 2.3701e+00	 9.3944e-02	 5.2239e-08	-7.6184e-07	 1.8533e-11	 2.1665e+05	 3.0315e+02	 6.2469e+02
