, 19.12.2024, 18:44
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 2.5000e+05	 2.2020e+02	 2.5980e+00	 2.6059e-01	 3.6226e-08	-2.2215e-07	 2.0315e-11	 3.1242e+05	 3.2314e+02	 2.3519e+02
 1.2500e+05	 2.2020e+02	 2.7200e+00	 3.4155e-01	 2.3741e-08	-1.1955e-07	 2.1269e-11	 4.7672e+05	 3.2315e+02	 2.3762e+02
 6.2500e+04	 2.2020e+02	 2.8835e+00	 4.3384e-01	 1.5078e-08	-6.5460e-08	 2.2548e-11	 7.5063e+05	 3.2314e+02	 2.4030e+02
 3.1250e+04	 2.2020e+02	 3.0922e+00	 5.3359e-01	 9.2721e-09	-3.6356e-08	 2.4180e-11	 1.2206e+06	 3.2315e+02	 2.4289e+02
 1.5625e+04	 2.2020e+02	 3.3504e+00	 6.3724e-01	 5.5366e-09	-2.0421e-08	 2.6199e-11	 2.0442e+06	 3.2314e+02	 2.4537e+02
 7.8125e+03	 2.2020e+02	 3.6631e+00	 7.3722e-01	 3.2027e-09	-1.1569e-08	 2.8644e-11	 3.5338e+06	 3.2315e+02	 2.4794e+02
 3.9062e+03	 2.2020e+02	 4.0280e+00	 8.1452e-01	 1.7692e-09	-6.5773e-09	 3.1498e-11	 6.3969e+06	 3.2315e+02	 2.5050e+02
 1.9531e+03	 2.2020e+02	 4.4322e+00	 8.5472e-01	 9.2827e-10	-3.7276e-09	 3.4658e-11	 1.2192e+07	 3.2315e+02	 2.5312e+02
 9.7656e+02	 2.2020e+02	 4.8072e+00	 8.7046e-01	 4.7268e-10	-2.0674e-09	 3.7591e-11	 2.3943e+07	 3.2315e+02	 2.5562e+02
 4.8828e+02	 2.2020e+02	 5.1573e+00	 9.1452e-01	 2.4830e-10	-1.1288e-09	 4.0328e-11	 4.5580e+07	 3.2315e+02	 2.5827e+02
 2.4414e+02	 2.2020e+02	 5.5063e+00	 1.0394e+00	 1.4111e-10	-6.1176e-10	 4.3057e-11	 8.0207e+07	 3.2315e+02	 2.6370e+02
 1.2207e+02	 2.2020e+02	 5.9047e+00	 1.2891e+00	 8.7505e-11	-3.3292e-10	 4.6172e-11	 1.2934e+08	 3.2315e+02	 2.6614e+02
 6.1035e+01	 2.2020e+02	 6.4025e+00	 1.7068e+00	 5.7929e-11	-1.8336e-10	 5.0065e-11	 1.9537e+08	 3.2315e+02	 2.6869e+02
 3.0518e+01	 2.2020e+02	 7.0396e+00	 2.3756e+00	 4.0313e-11	-1.0249e-10	 5.5047e-11	 2.8075e+08	 3.2314e+02	 2.7162e+02
 1.5259e+01	 2.2020e+02	 7.8547e+00	 3.4741e+00	 2.9477e-11	-5.8161e-11	 6.1421e-11	 3.8395e+08	 3.2314e+02	 2.7453e+02
 7.6294e+00	 2.2020e+02	 8.9446e+00	 5.3545e+00	 2.2716e-11	-3.3704e-11	 6.9943e-11	 4.9822e+08	 3.2315e+02	 2.7708e+02
 1.9073e+00	 2.2020e+02	 1.2882e+01	 1.4503e+01	 1.5382e-11	-1.2602e-11	 1.0073e-10	 7.3577e+08	 3.2315e+02	 2.8055e+02
 4.7684e-01	 2.2020e+02	 2.2764e+01	 4.3652e+01	 1.1574e-11	-5.7707e-12	 1.7800e-10	 9.7782e+08	 3.2315e+02	 2.8969e+02
 1.0000e-01	 2.2020e+02	 5.3061e+01	 1.5508e+02	 8.6237e-12	-2.8949e-12	 4.1492e-10	 1.3124e+09	 3.2315e+02	 3.3027e+02
 1.0000e+06	 3.2750e+02	 2.4472e+00	 1.4422e-01	 8.0195e-08	-8.0475e-07	 1.9136e-11	 1.4113e+05	 3.2315e+02	 3.3731e+02
 5.0000e+05	 3.2750e+02	 2.5086e+00	 1.9212e-01	 5.3415e-08	-4.1944e-07	 1.9617e-11	 2.1188e+05	 3.2315e+02	 3.3981e+02
 2.5000e+05	 3.2750e+02	 2.5938e+00	 2.5764e-01	 3.5815e-08	-2.2156e-07	 2.0282e-11	 3.1600e+05	 3.2315e+02	 3.4244e+02
 1.2500e+05	 3.2750e+02	 2.7144e+00	 3.3797e-01	 2.3492e-08	-1.1916e-07	 2.1225e-11	 4.8178e+05	 3.2315e+02	 3.4487e+02
 6.2500e+04	 3.2750e+02	 2.8764e+00	 4.2946e-01	 1.4926e-08	-6.5212e-08	 2.2492e-11	 7.5828e+05	 3.2315e+02	 3.4769e+02
 3.1250e+04	 3.2750e+02	 3.0832e+00	 5.2841e-01	 9.1822e-09	-3.6199e-08	 2.4109e-11	 1.2326e+06	 3.2315e+02	 3.5031e+02
 1.5625e+04	 3.2750e+02	 3.3389e+00	 6.3097e-01	 5.4822e-09	-2.0321e-08	 2.6109e-11	 2.0645e+06	 3.2315e+02	 3.5300e+02
 7.8125e+03	 3.2750e+02	 3.6483e+00	 7.3009e-01	 3.1717e-09	-1.1505e-08	 2.8528e-11	 3.5684e+06	 3.2315e+02	 3.5544e+02
 3.9062e+03	 3.2750e+02	 4.0099e+00	 8.0737e-01	 1.7537e-09	-6.5378e-09	 3.1356e-11	 6.4536e+06	 3.2316e+02	 3.5806e+02
 1.9531e+03	 3.2750e+02	 4.4116e+00	 8.4778e-01	 9.2074e-10	-3.7051e-09	 3.4497e-11	 1.2292e+07	 3.2315e+02	 3.6062e+02
 9.7656e+02	 3.2750e+02	 4.7851e+00	 8.6203e-01	 4.6811e-10	-2.0554e-09	 3.7418e-11	 2.4178e+07	 3.2315e+02	 3.6328e+02
 4.8828e+02	 3.2750e+02	 5.1327e+00	 9.0202e-01	 2.4491e-10	-1.1221e-09	 4.0136e-11	 4.6211e+07	 3.2315e+02	 3.6575e+02
 2.4414e+02	 3.2750e+02	 5.4781e+00	 1.0200e+00	 1.3848e-10	-6.0794e-10	 4.2837e-11	 8.1729e+07	 3.2315e+02	 3.7097e+02
 1.2207e+02	 3.2750e+02	 5.8702e+00	 1.2588e+00	 8.5445e-11	-3.3058e-10	 4.5903e-11	 1.3246e+08	 3.2315e+02	 3.7344e+02
 6.1035e+01	 3.2750e+02	 6.3599e+00	 1.6592e+00	 5.6311e-11	-1.8191e-10	 4.9732e-11	 2.0099e+08	 3.2315e+02	 3.7625e+02
 3.0518e+01	 3.2750e+02	 6.9860e+00	 2.2933e+00	 3.8916e-11	-1.0158e-10	 5.4628e-11	 2.9082e+08	 3.2314e+02	 3.7937e+02
