, 20.12.2024, 17:18
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 7.6294e+00	 2.0300e+02	 1.9505e+01	 3.6172e+01	 1.5346e-10	-7.8507e-11	 1.5252e-10	 7.3751e+07	 3.0316e+02	 2.6244e+02
 1.9073e+00	 2.0300e+02	 4.3606e+01	 1.1214e+02	 1.1894e-10	-4.5189e-11	 3.4099e-10	 9.5153e+07	 3.0315e+02	 2.6515e+02
 4.7684e-01	 2.0300e+02	 1.1848e+02	 3.5446e+02	 9.3985e-11	-3.1150e-11	 9.2648e-10	 1.2042e+08	 3.0316e+02	 2.7644e+02
 1.0000e-01	 2.0300e+02	 3.6285e+02	 1.2698e+03	 7.0609e-11	-2.0121e-11	 2.8373e-09	 1.6029e+08	 3.0315e+02	 3.0699e+02
 1.0000e+06	 3.0420e+02	 2.5953e+00	 2.0702e-01	 1.1512e-07	-8.8709e-07	 2.0294e-11	 9.8316e+04	 3.0315e+02	 3.1644e+02
 5.0000e+05	 3.0420e+02	 2.6840e+00	 2.7027e-01	 7.5143e-08	-4.6820e-07	 2.0988e-11	 1.5061e+05	 3.0315e+02	 3.1913e+02
 2.5000e+05	 3.0420e+02	 2.8057e+00	 3.5634e-01	 4.9537e-08	-2.5102e-07	 2.1940e-11	 2.2847e+05	 3.0315e+02	 3.2169e+02
 1.2500e+05	 3.0420e+02	 2.9728e+00	 4.6019e-01	 3.1987e-08	-1.3713e-07	 2.3247e-11	 3.5383e+05	 3.0315e+02	 3.2444e+02
 6.2500e+04	 3.0420e+02	 3.1925e+00	 5.7760e-01	 2.0074e-08	-7.6197e-08	 2.4964e-11	 5.6380e+05	 3.0315e+02	 3.2694e+02
 3.1250e+04	 3.0420e+02	 3.4672e+00	 7.0479e-01	 1.2247e-08	-4.2872e-08	 2.7112e-11	 9.2411e+05	 3.0315e+02	 3.2988e+02
 1.5625e+04	 3.0420e+02	 3.7994e+00	 8.4186e-01	 7.3145e-09	-2.4322e-08	 2.9710e-11	 1.5473e+06	 3.0315e+02	 3.3232e+02
 7.8125e+03	 3.0420e+02	 4.1931e+00	 9.9073e-01	 4.3040e-09	-1.3871e-08	 3.2788e-11	 2.6296e+06	 3.0315e+02	 3.3475e+02
 3.9062e+03	 3.0420e+02	 4.6643e+00	 1.1542e+00	 2.5071e-09	-7.9593e-09	 3.6473e-11	 4.5143e+06	 3.0314e+02	 3.3982e+02
 1.9531e+03	 3.0420e+02	 5.1686e+00	 1.3371e+00	 1.4522e-09	-4.5273e-09	 4.0416e-11	 7.7937e+06	 3.0315e+02	 3.4257e+02
 9.7656e+02	 3.0420e+02	 5.7019e+00	 1.5992e+00	 8.6840e-10	-2.5533e-09	 4.4587e-11	 1.3033e+07	 3.0315e+02	 3.4507e+02
 4.8828e+02	 3.0420e+02	 6.2762e+00	 2.0592e+00	 5.5911e-10	-1.4326e-09	 4.9078e-11	 2.0242e+07	 3.0315e+02	 3.4783e+02
 2.4414e+02	 3.0420e+02	 6.9570e+00	 2.9070e+00	 3.9464e-10	-8.0871e-10	 5.4401e-11	 2.8678e+07	 3.0315e+02	 3.5052e+02
 1.2207e+02	 3.0420e+02	 7.8617e+00	 4.4337e+00	 3.0095e-10	-4.6576e-10	 6.1476e-11	 3.7606e+07	 3.0315e+02	 3.5325e+02
 6.1035e+01	 3.0420e+02	 9.1732e+00	 7.1418e+00	 2.4239e-10	-2.7739e-10	 7.1731e-11	 4.6692e+07	 3.0315e+02	 3.5582e+02
 3.0518e+01	 3.0420e+02	 1.1153e+01	 1.1976e+01	 2.0322e-10	-1.7230e-10	 8.7215e-11	 5.5691e+07	 3.0315e+02	 3.5882e+02
 1.5259e+01	 3.0420e+02	 1.4289e+01	 2.0561e+01	 1.7445e-10	-1.1275e-10	 1.1173e-10	 6.4875e+07	 3.0315e+02	 3.6169e+02
 7.6294e+00	 3.0420e+02	 1.9467e+01	 3.5995e+01	 1.5271e-10	-7.8346e-11	 1.5223e-10	 7.4114e+07	 3.0315e+02	 3.6415e+02
 1.9073e+00	 3.0420e+02	 4.3615e+01	 1.1160e+02	 1.1836e-10	-4.5198e-11	 3.4105e-10	 9.5622e+07	 3.0314e+02	 3.6694e+02
 4.7684e-01	 3.0420e+02	 1.1915e+02	 3.5373e+02	 9.3791e-11	-3.1327e-11	 9.3169e-10	 1.2067e+08	 3.0315e+02	 3.7838e+02
 1.0000e-01	 3.0420e+02	 3.7253e+02	 1.2803e+03	 7.1194e-11	-2.0660e-11	 2.9131e-09	 1.5897e+08	 3.0315e+02	 4.0874e+02
 1.0000e+06	 4.0600e+02	 2.5960e+00	 2.0724e-01	 1.1524e-07	-8.8748e-07	 2.0300e-11	 9.8209e+04	 3.0315e+02	 4.1777e+02
 5.0000e+05	 4.0600e+02	 2.6849e+00	 2.7106e-01	 7.5362e-08	-4.6845e-07	 2.0995e-11	 1.5018e+05	 3.0315e+02	 4.2052e+02
 2.5000e+05	 4.0600e+02	 2.8070e+00	 3.5717e-01	 4.9652e-08	-2.5120e-07	 2.1949e-11	 2.2794e+05	 3.0315e+02	 4.2307e+02
 1.2500e+05	 4.0600e+02	 2.9744e+00	 4.6099e-01	 3.2043e-08	-1.3724e-07	 2.3259e-11	 3.5321e+05	 3.0315e+02	 4.2582e+02
 6.2500e+04	 4.0600e+02	 3.1944e+00	 5.7861e-01	 2.0109e-08	-7.6265e-08	 2.4979e-11	 5.6282e+05	 3.0315e+02	 4.2825e+02
 3.1250e+04	 4.0600e+02	 3.4697e+00	 7.0625e-01	 1.2272e-08	-4.2915e-08	 2.7131e-11	 9.2220e+05	 3.0315e+02	 4.3113e+02
 1.5625e+04	 4.0600e+02	 3.8023e+00	 8.4368e-01	 7.3303e-09	-2.4348e-08	 2.9732e-11	 1.5440e+06	 3.0315e+02	 4.3357e+02
 7.8125e+03	 4.0600e+02	 4.1968e+00	 9.9319e-01	 4.3146e-09	-1.3888e-08	 3.2817e-11	 2.6231e+06	 3.0315e+02	 4.3600e+02
 3.9062e+03	 4.0600e+02	 4.6691e+00	 1.1577e+00	 2.5146e-09	-7.9698e-09	 3.6511e-11	 4.5008e+06	 3.0315e+02	 4.4125e+02
 1.9531e+03	 4.0600e+02	 5.1749e+00	 1.3417e+00	 1.4571e-09	-4.5342e-09	 4.0466e-11	 7.7670e+06	 3.0315e+02	 4.4407e+02
 9.7656e+02	 4.0600e+02	 5.7100e+00	 1.6057e+00	 8.7192e-10	-2.5577e-09	 4.4650e-11	 1.2980e+07	 3.0316e+02	 4.4650e+02
 4.8828e+02	 4.0600e+02	 6.2871e+00	 2.0686e+00	 5.6165e-10	-1.4355e-09	 4.9163e-11	 2.0151e+07	 3.0315e+02	 4.4911e+02
 2.4414e+02	 4.0600e+02	 6.9714e+00	 2.9212e+00	 3.9657e-10	-8.1066e-10	 5.4514e-11	 2.8539e+07	 3.0315e+02	 4.5183e+02
 1.2207e+02	 4.0600e+02	 7.8804e+00	 4.4549e+00	 3.0239e-10	-4.6703e-10	 6.1622e-11	 3.7427e+07	 3.0315e+02	 4.5441e+02
 6.1035e+01	 4.0600e+02	 9.1964e+00	 7.1858e+00	 2.4388e-10	-2.7818e-10	 7.1912e-11	 4.6407e+07	 3.0315e+02	 4.5707e+02
 3.0518e+01	 4.0600e+02	 1.1194e+01	 1.2045e+01	 2.0440e-10	-1.7298e-10	 8.7531e-11	 5.5369e+07	 3.0315e+02	 4.5988e+02
 1.5259e+01	 4.0600e+02	 1.4354e+01	 2.0718e+01	 1.7579e-10	-1.1331e-10	 1.1224e-10	 6.4382e+07	 3.0314e+02	 4.6260e+02
 7.6294e+00	 4.0600e+02	 1.9625e+01	 3.6180e+01	 1.5349e-10	-7.9013e-11	 1.5346e-10	 7.3736e+07	 3.0315e+02	 4.6516e+02
 1.9073e+00	 4.0600e+02	 4.4125e+01	 1.1233e+02	 1.1913e-10	-4.5739e-11	 3.4504e-10	 9.5000e+07	 3.0315e+02	 4.6788e+02
 4.7684e-01	 4.0600e+02	 1.1959e+02	 3.5413e+02	 9.3897e-11	-3.1445e-11	 9.3517e-10	 1.2053e+08	 3.0314e+02	 4.7921e+02
 1.0000e-01	 4.0600e+02	 3.7438e+02	 1.2818e+03	 7.1279e-11	-2.0762e-11	 2.9275e-09	 1.5878e+08	 3.0315e+02	 5.0986e+02
