, 19.12.2024, 13:26
Diameter[mm] 1.500e+01  Thickness[mm] 2.000e-01  Spacer Capacity[pF] 0.000e+00  Spacer Area[mm^2] 0.000e+00
Fixed value(s) : 
 Freq. [Hz]	 Time  [s]	 Eps'   	 Eps''  	 Sig' [S/cm]	 Sig'' [S/cm]	  Cp' [F]	 Zp' [Ohms]	M Temp [K]	M Time M[s]
 6.2500e+04	 3.4970e+02	 3.0746e+00	 5.7950e-01	 2.0140e-08	-7.2099e-08	 2.4042e-11	 5.6195e+05	 3.2313e+02	 3.6963e+02
 3.1250e+04	 3.4970e+02	 3.3609e+00	 7.1297e-01	 1.2389e-08	-4.1026e-08	 2.6281e-11	 9.1351e+05	 3.2313e+02	 3.7247e+02
 1.5625e+04	 3.4970e+02	 3.7134e+00	 8.3994e-01	 7.2978e-09	-2.3575e-08	 2.9037e-11	 1.5508e+06	 3.2312e+02	 3.7500e+02
 7.8125e+03	 3.4970e+02	 4.1263e+00	 9.4925e-01	 4.1238e-09	-1.3582e-08	 3.2266e-11	 2.7445e+06	 3.2312e+02	 3.7744e+02
 3.9062e+03	 3.4970e+02	 4.5995e+00	 1.0304e+00	 2.2382e-09	-7.8186e-09	 3.5967e-11	 5.0566e+06	 3.2313e+02	 3.8263e+02
 1.9531e+03	 3.4970e+02	 5.0622e+00	 1.0810e+00	 1.1740e-09	-4.4118e-09	 3.9585e-11	 9.6405e+06	 3.2312e+02	 3.8508e+02
 9.7656e+02	 3.4970e+02	 5.4968e+00	 1.1656e+00	 6.3294e-10	-2.4419e-09	 4.2983e-11	 1.7881e+07	 3.2313e+02	 3.8763e+02
 4.8828e+02	 3.4970e+02	 5.9411e+00	 1.3773e+00	 3.7396e-10	-1.3416e-09	 4.6457e-11	 3.0265e+07	 3.2313e+02	 3.9007e+02
 2.4414e+02	 3.4970e+02	 6.4975e+00	 1.7741e+00	 2.4085e-10	-7.4633e-10	 5.0808e-11	 4.6990e+07	 3.2313e+02	 3.9290e+02
 1.2207e+02	 3.4970e+02	 7.2635e+00	 2.3578e+00	 1.6005e-10	-4.2516e-10	 5.6798e-11	 7.0715e+07	 3.2313e+02	 3.9532e+02
 6.1035e+01	 3.4970e+02	 8.2629e+00	 3.1448e+00	 1.0673e-10	-2.4650e-10	 6.4613e-11	 1.0604e+08	 3.2313e+02	 3.9799e+02
 3.0518e+01	 3.4970e+02	 9.4873e+00	 4.3216e+00	 7.3335e-11	-1.4403e-10	 7.4187e-11	 1.5433e+08	 3.2314e+02	 4.0238e+02
 1.5259e+01	 3.4970e+02	 1.0985e+01	 6.1876e+00	 5.2501e-11	-8.4719e-11	 8.5896e-11	 2.1557e+08	 3.2314e+02	 4.0554e+02
 7.6294e+00	 3.4970e+02	 1.2893e+01	 9.4071e+00	 3.9909e-11	-5.0457e-11	 1.0082e-10	 2.8359e+08	 3.2314e+02	 4.0802e+02
 1.9073e+00	 3.4970e+02	 1.9203e+01	 2.5086e+01	 2.6607e-11	-1.9306e-11	 1.5016e-10	 4.2537e+08	 3.2314e+02	 4.1144e+02
 4.7684e-01	 3.4970e+02	 3.3997e+01	 7.6095e+01	 2.0177e-11	-8.7492e-12	 2.6584e-10	 5.6093e+08	 3.2315e+02	 4.2057e+02
 1.0000e-01	 3.4970e+02	 8.0261e+01	 2.9122e+02	 1.6193e-11	-4.4074e-12	 6.2761e-10	 6.9890e+08	 3.2317e+02	 4.6121e+02
 1.0000e+06	 4.5850e+02	 2.5197e+00	 1.8271e-01	 1.0160e-07	-8.4505e-07	 1.9703e-11	 1.1140e+05	 3.2317e+02	 4.6821e+02
 5.0000e+05	 4.5850e+02	 2.5961e+00	 2.5034e-01	 6.9602e-08	-4.4376e-07	 2.0300e-11	 1.6261e+05	 3.2317e+02	 4.7069e+02
 2.5000e+05	 4.5850e+02	 2.7076e+00	 3.4447e-01	 4.7887e-08	-2.3738e-07	 2.1172e-11	 2.3634e+05	 3.2317e+02	 4.7344e+02
 1.2500e+05	 4.5850e+02	 2.8712e+00	 4.6070e-01	 3.2022e-08	-1.3006e-07	 2.2451e-11	 3.5343e+05	 3.2318e+02	 4.7588e+02
 6.2500e+04	 4.5850e+02	 3.0968e+00	 5.9090e-01	 2.0536e-08	-7.2872e-08	 2.4216e-11	 5.5111e+05	 3.2318e+02	 4.7832e+02
 3.1250e+04	 4.5850e+02	 3.3889e+00	 7.2501e-01	 1.2598e-08	-4.1511e-08	 2.6500e-11	 8.9834e+05	 3.2317e+02	 4.8115e+02
 1.5625e+04	 4.5850e+02	 3.7470e+00	 8.5205e-01	 7.4030e-09	-2.3867e-08	 2.9300e-11	 1.5288e+06	 3.2318e+02	 4.8365e+02
 7.8125e+03	 4.5850e+02	 4.1656e+00	 9.6066e-01	 4.1733e-09	-1.3752e-08	 3.2574e-11	 2.7119e+06	 3.2318e+02	 4.8638e+02
 3.9062e+03	 4.5850e+02	 4.6429e+00	 1.0407e+00	 2.2604e-09	-7.9129e-09	 3.6306e-11	 5.0068e+06	 3.2317e+02	 4.9163e+02
 1.9531e+03	 4.5850e+02	 5.1060e+00	 1.0926e+00	 1.1867e-09	-4.4593e-09	 3.9927e-11	 9.5373e+06	 3.2317e+02	 4.9407e+02
 9.7656e+02	 4.5850e+02	 5.5410e+00	 1.1873e+00	 6.4473e-10	-2.4659e-09	 4.3328e-11	 1.7554e+07	 3.2317e+02	 4.9652e+02
 4.8828e+02	 4.5850e+02	 5.9927e+00	 1.4189e+00	 3.8525e-10	-1.3556e-09	 4.6861e-11	 2.9377e+07	 3.2317e+02	 4.9896e+02
